eid,sid,v,d
490,483,6,10
491,443,9,6
492,413,7,9
493,121,5,7
494,458,7,9
495,494,5,8
496,120,9,6
497,465,5,5
498,496,7,8
499,473,6,7
500,458,7,5
501,223,7,10
502,71,6,10
503,383,6,8
504,359,5,8
505,440,9,5
506,252,6,8
507,135,10,9
508,213,5,9
509,251,6,7
510,4,10,5
511,274,8,6
512,432,7,9
513,161,7,9
514,338,5,7
515,23,6,5
516,83,10,10
517,163,9,6
518,148,9,8
519,414,8,9
520,57,8,9
521,73,5,7
522,371,7,5
523,368,9,10
524,361,7,6
525,483,5,10
526,409,6,7
527,354,6,6
528,453,5,7
529,187,8,7
530,103,9,7
531,386,6,8
532,335,8,7
533,211,5,7
534,509,6,5
535,516,8,6
536,420,5,7
537,529,9,5
538,175,7,9
539,529,5,6
540,378,9,8
541,52,6,5
542,182,10,6
543,23,5,10
544,403,7,5
545,463,9,9
546,65,6,10
547,216,7,7
548,494,8,9
549,205,5,5
550,402,6,5
551,483,8,5
552,455,6,10
553,169,7,7
554,434,5,6
555,292,10,7
556,278,8,10
557,385,7,10
558,347,10,9
559,495,9,8
560,42,8,8
561,383,10,6
562,411,8,7
563,500,8,9
564,463,10,6
565,546,7,7
566,483,6,7
567,335,5,10
568,565,8,5
569,299,9,5
570,393,9,10
571,359,5,5
572,268,5,7
573,433,10,7
574,282,7,6
575,540,8,7
