eid,sid,v,d
264,1,5,7
265,222,8,10
266,206,6,10
267,243,8,10
268,103,10,9
269,187,10,7
270,198,7,9
271,137,8,6
272,267,9,6
273,1,5,7
274,190,10,6
275,51,10,10
276,197,7,5
277,157,7,9
278,221,7,8
279,231,6,6
280,47,7,10
281,237,6,6
282,18,7,8
283,22,6,8
284,267,5,7
285,138,7,10
286,71,6,9
287,269,6,8
288,43,9,6
289,73,5,5
290,229,9,5
291,203,10,7
292,203,5,8
293,23,7,7
294,24,9,8
295,234,10,7
296,252,7,6
297,232,6,7
298,261,8,8
299,210,9,7
300,284,7,9
301,4,6,6
302,77,6,5
303,267,6,9
304,147,10,8
305,166,8,7
306,250,6,5
307,303,5,5
308,286,10,9
309,97,10,8
310,262,8,8
311,85,9,5
312,237,9,9
313,187,7,6
314,310,5,7
315,146,8,10
316,75,9,5
317,252,8,8
318,256,7,7
319,267,8,10
320,264,7,10
321,247,7,9
322,207,9,10
323,65,6,7
324,199,9,5
325,295,6,5
326,118,7,7
327,184,5,10
328,303,5,7
329,199,7,7
330,198,10,7
331,224,10,7
332,264,6,7
333,264,8,8
334,323,7,10
335,43,9,5
336,38,6,10
337,146,5,5
338,264,9,10
339,257,7,8
340,65,6,8
341,328,8,5
342,328,10,6
343,66,7,7
344,251,7,8
345,162,10,10
346,186,6,8
347,207,9,9
348,203,8,5
349,281,10,7
350,204,6,10
351,198,6,6
352,338,9,6
353,125,9,6
354,224,6,9
355,329,8,8
356,252,5,10
357,115,6,6
358,350,7,7
359,317,10,9
360,146,10,7
361,122,8,5
362,316,9,8
363,234,7,8
364,55,10,7
365,253,9,6
366,295,8,10
367,360,10,8
368,81,5,5
369,288,5,9
370,257,5,9
371,23,9,8
372,366,8,5
373,339,10,7
374,265,10,10
375,139,5,6
376,100,5,9
377,329,8,5
378,110,6,9
379,378,10,9
380,194,6,8
381,259,10,7
382,142,8,7
383,379,5,7
384,359,10,8
385,263,9,5
386,51,6,5
387,234,8,6
388,209,6,10
389,276,5,7
390,173,8,7
391,211,10,5
392,341,9,9
393,355,6,8
394,141,10,7
395,289,9,10
396,78,5,9
397,167,8,9
398,315,7,6
399,316,10,6
400,134,9,7
401,324,9,8
402,234,7,9
403,340,6,7
404,369,5,7
405,318,8,6
406,272,5,5
407,402,5,8
408,43,6,10
409,2,5,6
410,201,6,9
411,267,7,7
412,308,8,7
413,224,9,5
414,200,8,6
415,167,8,7
416,206,5,6
417,407,6,5
418,403,7,5
419,417,6,6
420,397,9,10
421,419,5,10
422,378,9,6
423,134,9,6
424,101,9,9
425,84,10,8
426,135,5,8
427,402,10,10
428,322,8,9
429,199,10,8
430,24,10,7
431,360,10,5
432,79,8,7
433,17,10,7
434,240,6,8
435,412,5,6
436,329,6,7
437,411,7,7
438,253,7,9
439,235,6,6
440,234,6,9
441,211,9,6
442,316,10,10
443,12,7,6
444,64,9,8
445,361,9,5
446,14,5,10
447,402,9,9
448,387,8,9
449,195,6,8
450,159,5,8
451,420,5,6
452,244,7,6
453,340,8,5
454,138,6,8
455,337,5,10
456,324,5,9
457,150,8,10
458,231,10,5
459,210,8,7
460,429,8,8
461,414,7,9
462,368,5,7
463,222,5,10
464,353,5,5
465,134,8,8
466,350,10,7
467,190,6,7
