vid,x,y,theta,cost
64,423.0,70.0,1.4714467869976702,432.14469810944286
65,390.0,99.0,1.6154700873801988,402.1354684502745
66,421.0,93.0,1.4713086647832248,409.0601795031157
67,351.0,136.0,1.6502115485397937,365.15339242570377
68,469.0,65.0,1.3679008020946637,444.01126111845406
69,408.0,91.0,1.5021855460748998,409.9573148511928
70,390.0,132.0,1.5428335298187943,368.13584449222003
71,422.0,70.0,1.473005391776445,432.04629381583635
72,416.0,70.0,1.4867994287683954,431.50434528518946
73,440.0,63.0,1.4347188594922344,441.0997619586753
74,253.0,68.0,1.8557723393917367,450.28102336207775
75,360.0,221.0,1.643830763581499,279.71592732627863
76,373.0,110.0,1.5899322157531917,390.06281545412656
77,438.0,72.0,1.4273481861485962,431.9269861169206
78,394.0,215.0,1.5220688942194045,285.34365246137855
79,277.0,108.0,1.827145035259098,405.30605719628716
80,463.0,98.0,1.367638535642132,410.47898850002053
81,327.0,217.0,1.7548113655674886,287.9201278132531
82,397.0,205.0,1.5129986537963251,295.4894245146516
83,363.0,321.0,1.6667391549805335,179.8054504179448
84,523.0,92.0,1.2332107070276799,432.3343613454753
85,435.0,240.0,1.3612716505250064,265.75364531836624
86,321.0,105.0,1.7614413321842204,399.8509002686518
87,371.0,204.0,1.5998557511457998,296.13679271579883
88,433.0,64.0,1.4554430433006893,439.2166066853878
89,428.0,119.0,1.4456705332664315,384.0117185711915
90,395.0,321.0,1.4881688291577055,179.62739212046696
91,305.0,97.0,1.8236457618998871,411.19257192646785
92,384.0,220.0,1.5560120905905355,280.0285699709942
93,383.0,295.0,1.558019025872654,205.0219500443794
94,356.0,189.0,1.6481634726791115,311.9246703933499
95,368.0,240.0,1.6179979057905103,260.27677575995904
96,435.0,76.0,1.4092341834308768,427.8712238665952
97,395.0,286.0,1.5001974186515514,214.5250568115529
98,373.0,123.0,1.519717490641358,378.05781484268505
99,313.0,123.0,1.8184874969691427,384.0210227918458
100,350.0,257.0,1.691939930393715,244.84484883288846
101,313.0,182.0,1.7792861184009925,324.98153793715727
102,344.0,265.0,1.7239017486581902,237.7414562082095
103,505.0,74.0,1.2845452087477924,443.96058383599774
104,315.0,76.0,1.724754269493095,428.95344344773514
105,394.0,117.0,1.5992997006596537,384.0077929155449
106,385.0,175.0,1.5547522043282296,325.0384592629002
107,385.0,182.0,1.5548817894005105,318.0393057469469
108,312.0,122.0,1.8216240144583589,385.2367041258458
109,373.0,204.0,1.592876995464681,296.08275870100914
110,445.0,156.0,1.3849399538629938,350.08713201144656
111,292.0,95.0,1.8545863606560802,415.3603564456517
112,391.0,335.0,1.5020853551914408,165.36626016210198
113,435.0,195.0,1.3922725840294738,309.9193443462347
114,463.0,183.0,1.3138991122654617,327.6858251435359
115,449.0,81.0,1.4827196867991053,425.3688075054216
116,310.0,96.0,1.763193861322135,410.107461953855
117,469.0,145.0,1.324321663793536,365.9863385428478
118,359.0,151.0,1.5951059612295553,349.8525027299446
119,376.0,260.0,1.5891969915951787,240.03333101883996
120,385.0,178.0,1.555252682233162,322.03881753602315
121,360.0,267.0,1.6553110390655044,233.8567937862828
122,406.0,221.0,1.478454838380003,280.20885068105895
123,310.0,126.0,1.755474799528251,380.4944152021157
124,468.0,83.0,1.3643234304586607,426.18431570280364
125,360.0,126.0,1.5841584463484446,374.8285259756849
126,406.0,141.0,1.495678268151985,359.94529294826833
127,380.0,275.0,1.5697722987295673,225.0
128,391.0,68.0,1.5448435340582218,432.1400236034612
129,457.0,89.0,1.309501222504229,420.06608348359543
130,403.0,231.0,1.484991540188939,269.9814808463721
131,420.0,142.0,1.4216896267693835,360.5328556645086
132,408.0,86.0,1.4522115542698089,415.5118547904265
133,480.0,81.0,1.2959846878741925,430.99891756541115
134,384.0,290.0,1.550704022849866,210.03809178337153
135,346.0,74.0,1.6397694852718026,427.38977948584034
136,320.0,206.0,1.7729114055657291,300.0599940011997
137,339.0,66.0,1.6664639313132898,435.9323720798427
138,374.0,235.0,1.5920241542686075,265.06791582535976
139,382.0,330.0,1.5608137612844564,170.01176429882727
140,342.0,137.0,1.6822699073030496,364.999942776654
141,313.0,66.0,1.7228801891117282,439.1412688056531
142,365.0,120.0,1.6101723940847639,380.2959373961284
143,374.0,199.0,1.5904895418341942,301.0597947252339
144,510.0,80.0,1.2713747433889548,439.65895873961216
145,417.0,64.0,1.4853767711723938,437.5673076046743
146,355.0,249.0,1.671319933941863,252.24194734421155
147,327.0,152.0,1.7221391162790454,352.0127838587684
148,306.0,97.0,1.787872721521174,409.94385778769686
149,352.0,87.0,1.693717080344664,414.85661313171573
150,507.0,110.0,1.2570355963810873,410.1572869034512
151,477.0,65.0,1.3339492961857715,445.7230871689204
152,363.0,270.0,1.6460244699555944,230.62740513651016
153,407.0,176.0,1.4711732798068333,325.1692638885652
154,407.0,109.0,1.5319897615622518,392.10263583418305
155,352.0,90.0,1.6205955040267974,411.0672068758598
156,391.0,166.0,1.5987989738878357,334.67899643335375
157,367.0,95.0,1.6025748434544527,405.20858826041683
158,467.0,63.0,1.3947273640114783,445.62304238190234
159,318.0,103.0,1.725414177208732,401.81214516238805
160,421.0,152.0,1.406253424189112,350.8089736884091
161,403.0,159.0,1.504140866705765,341.77477964296895
162,318.0,85.0,1.7182707806310216,419.6057673578856
163,431.0,86.0,1.411289589349925,417.5586470416428
164,316.0,86.0,1.7665936721063358,419.45936755680566
165,400.0,170.0,1.5171695236649696,330.6115324091469
166,306.0,66.0,1.7576570256884803,440.32341537043476
167,399.0,141.0,1.5180126667910785,359.50243392778304
168,410.0,87.0,1.5193076982583245,414.21505523912776
169,400.0,116.0,1.5193873410409156,384.52048059888824
170,311.0,153.0,1.7676055392779424,353.79372521287036
171,401.0,111.0,1.5401511619346275,389.7130889206061
172,312.0,192.0,1.7888454347499385,315.41718405946114
173,442.0,108.0,1.3771551555894628,397.1029239616107
174,394.0,185.0,1.5258565250322433,315.3109576275458
175,344.0,134.0,1.6674362330984367,367.7662300973269
176,368.0,175.0,1.6076400282369148,325.22146300636433
177,411.0,75.0,1.4978500979578757,426.12908842274544
178,391.0,80.0,1.5441990254436815,420.14402292547254
179,445.0,91.0,1.3529039964454022,415.2702417230207
180,428.0,184.0,1.4209495234370118,319.62478001556764
181,313.0,72.0,1.7282035612030942,433.21402028018144
182,431.0,174.0,1.4167414858841372,329.9651496749316
183,315.0,183.0,1.7716192225929166,323.5954264200902
184,395.0,188.0,1.523957159836131,312.360368805007
185,424.0,73.0,1.443841225602919,429.43632662174446
186,329.0,68.0,1.7058775685432654,435.07981262457145
187,462.0,93.0,1.3707303000795457,415.1782749614917
188,347.0,250.0,1.7030708199841842,252.16859439668534
189,400.0,225.0,1.4969602934013926,275.72631357924473
190,322.0,201.0,1.7625212450527408,304.5734722525913
191,358.0,177.0,1.6396519874538762,323.74835906920055
192,384.0,285.0,1.5523367616101162,215.03720608304042
193,336.0,143.0,1.6940907402442082,359.70126494078386
194,349.0,83.0,1.6309914780877497,418.2168595409144
195,384.0,241.0,1.5536566823205153,259.0308861892728
196,351.0,129.0,1.632955915733952,372.1800849205216
197,363.0,206.0,1.627854894061853,294.49108645254444
198,378.0,80.0,1.5750264661925233,420.0047618777673
199,394.0,175.0,1.5278374715568468,325.3013987058771
200,396.0,69.0,1.5824707068018904,431.96144905066956
201,409.0,272.0,1.4433403301503747,229.83689869122406
202,409.0,78.0,1.5025542489216352,422.99583920922925
203,389.0,164.0,1.5439129370352487,336.12051410171324
204,399.0,90.0,1.524855859610536,410.440007796511
205,337.0,270.0,1.7540659840466293,233.98504225697846
